,Title,Price,Rating,Image,Link
0,"POCO C50 (Royal Blue, 32 GB)","₹5,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70,https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
1,"POCO C50 (Country Green, 32 GB)","₹5,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70,https://www.flipkart.com/poco-c50-country-green-32-gb/p/itm0b3d5144d9c22?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGK8WZYEJ3G5AA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
2,"POCO C55 (Forest Green, 64 GB)","₹7,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70,https://www.flipkart.com/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMXSWFYZYWKTD.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
3,"POCO C55 (Power Black, 64 GB)","₹7,749",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70,https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
4,"POCO M4 5G (Cool Blue, 64 GB)","₹11,999",4.2,https://rukminim1.flixcart.com/image/312/312/l2jcccw0/mobile/i/p/o/-original-imagdu8j9vxscfdh.jpeg?q=70,https://www.flipkart.com/poco-m4-5g-cool-blue-64-gb/p/itm7b27dd2f5da7e?pid=MOBGDRGPD6YGVHXZ&lid=LSTMOBGDRGPD6YGVHXZBYCJDP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGDRGPD6YGVHXZ.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
5,"POCO C51 (Royal Blue, 64 GB)","₹6,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70,https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
6,"Infinix Smart 7 HD (Green Apple, 64 GB)","₹6,199",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGZNM9FZAVPXAA.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
7,"POCO C51 (Power Black, 64 GB)","₹6,999",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/o/t/a/c51-mzb0e6din-poco-original-imagzdzzraqzsrzc.jpeg?q=70,https://www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
8,"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,299",4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70,https://www.flipkart.com/motorola-e13-cosmic-black-64-gb/p/itm2cd6a5ea435eb?pid=MOBGKHNBBMSUE94W&lid=LSTMOBGKHNBBMSUE94WYZAYPS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGKHNBBMSUE94W.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
9,"Infinix SMART 7 (Night Black, 64 GB)","₹7,299",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB9VAZZSU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=af9e1da4-d043-4dfe-8904-bfef3e58d721.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=s678bep9vk0000001687863780298&qH=eb4af0bf07c16429
